area,contract_date,purchase_price,year,post_code
2087.0,27/07/1995,750000,1995,2527
733.5,28/12/1995,145000,1995,2640
,12/05/1995,106000,1995,2640
6518.0,28/07/1995,125000,1995,2640
907.0,24/07/1995,113000,1995,2527
559.4,26/07/1995,135000,1995,2527
557.5,29/08/1995,127000,1995,2527
557.4,17/01/1995,116000,1995,2527
557.4,11/08/1995,137500,1995,2527
,30/05/1995,109000,1995,2640
556.4,28/03/1995,124500,1995,2527
595.0,05/09/1995,165000,1995,2527
560.0,17/03/1995,130000,1995,2527
624.9,13/12/1995,125500,1995,2527
,25/08/1995,117500,1995,2527
756.2,26/10/1995,140000,1995,2527
996.8,07/04/1995,119900,1995,2527
996.8,18/05/1995,114900,1995,2527
996.8,25/08/1995,114000,1995,2527
646.9,08/12/1995,139000,1995,2527
575.4,19/06/1995,128000,1995,2527
1557.8,16/01/1995,122000,1995,2527
668.7,27/11/1995,163000,1995,2527
635.4,12/01/1995,180500,1995,2527
2422.0,07/12/1995,202000,1995,2527
1623.0,20/10/1995,145000,1995,2527
300.0,20/10/1995,145000,1995,2527
540.0,14/09/1995,156500,1995,2527
619.1,01/03/1995,147000,1995,2527
620.9,23/08/1995,155000,1995,2527
1093.9,09/05/1995,104000,1995,2289
,19/07/1995,213000,1995,2289
619.7,28/07/1995,133000,1995,2289
562.8,14/07/1995,134000,1995,2289
581.7,10/01/1995,130000,1995,2289
657.6,21/12/1995,135000,1995,2289
556.4,24/08/1995,125000,1995,2289
575.4,20/06/1995,140000,1995,2289
645.0,02/03/1995,130000,1995,2527
645.0,23/06/1995,107000,1995,2527
581.7,08/08/1995,122500,1995,2527
595.0,14/09/1995,119000,1995,2527
,30/01/1995,104500,1995,2527
,30/08/1995,110000,1995,2527
1104.0,08/02/1995,282500,1995,2527
1331.0,25/06/1995,105000,1995,2527
1732.0,28/09/1995,110000,1995,2527
1952.0,07/04/1995,106000,1995,2527
1952.0,08/09/1995,115000,1995,2527
,09/03/1995,115000,1995,2527
2008.0,17/08/1995,589500,1995,2527
787.7,15/05/1995,115000,1995,2527
652.0,22/11/1995,190000,1995,2640
513.0,12/05/1995,105000,1995,2640
,09/05/1995,127000,1995,2527
618.3,27/11/1995,112000,1995,2527
878.9,24/11/1995,106000,1995,2640
670.3,11/12/1995,111000,1995,2640
,24/08/1995,125000,1995,2527
,18/05/1995,125500,1995,2527
575.4,16/02/1995,125000,1995,2527
,26/10/1995,125000,1995,2527
556.4,21/09/1995,125000,1995,2527
,31/10/1995,300000,1995,2640
1549.0,11/01/1995,400000,1995,2527
,19/01/1995,185000,1995,2640
,08/03/1995,120000,1995,2640
,07/07/1995,164500,1995,2640
814.7,21/06/1995,115000,1995,2527
814.7,19/07/1995,107500,1995,2527
814.7,19/07/1995,109500,1995,2527
651.1,14/11/1995,255000,1995,2527
566.4,13/10/1995,188000,1995,2527
621.9,11/01/1995,237658,1995,2527
63.0,11/01/1995,237658,1995,2527
330.1,05/12/1995,135000,1995,2527
718.4,14/09/1995,135000,1995,2527
718.4,18/11/1995,126000,1995,2527
4.462,18/07/1995,215000,1995,2527
608.8,11/08/1995,142000,1995,2527
600.7,21/09/1995,105000,1995,2527
,17/08/1995,140000,1995,2527
600.7,03/05/1995,127500,1995,2527
600.7,26/09/1995,104800,1995,2527
973.8,11/07/1995,135000,1995,2527
973.8,17/07/1995,135000,1995,2527
607.0,27/03/1995,108000,1995,2527
,30/10/1995,110000,1995,2527
607.0,14/06/1995,121000,1995,2527
541.0,13/06/1995,214500,1995,2527
727.5,13/07/1995,233000,1995,2527
784.9,26/05/1995,217000,1995,2527
777.8,09/06/1995,190000,1995,2527
119.4,29/06/1995,1200000,1995,2527
714.7,23/05/1995,185000,1995,2527
654.7,03/10/1995,225000,1995,2527
552.3,14/12/1995,128000,1995,2527
1651.4,10/03/1995,113000,1995,2527
712.3,11/01/1995,362000,1995,2527
1543.0,28/07/1995,104000,1995,2527
740.8,03/08/1995,107000,1995,2527
767.5,03/05/1995,119500,1995,2527
3.0,30/06/1995,129500,1995,2527
872.6,15/03/1995,145000,1995,2640
973.8,02/06/1995,110000,1995,2640
,13/04/1995,102000,1995,2640
,23/02/1995,135000,1995,2640
811.2,26/11/1995,180000,1995,2640
529.6,22/03/1995,270000,1995,2527
695.6,25/10/1995,118000,1995,2527
1043.0,27/10/1995,160000,1995,2527
181.0,18/09/1995,105000,1995,2527
777.8,15/08/1995,115000,1995,2640
556.4,25/07/1995,115000,1995,2527
556.4,26/06/1995,124500,1995,2527
600.7,01/02/1995,144000,1995,2527
600.7,12/05/1995,134000,1995,2527
751.8,23/11/1995,148000,1995,2527
751.8,14/12/1995,142500,1995,2527
6.815,14/06/1995,157000,1995,2640
6.815,03/08/1995,140000,1995,2640
6.815,23/10/1995,165000,1995,2640
5278.0,08/12/1995,1095000,1995,2640
103.146,15/12/1995,1700000,1995,2640
1171.0,08/06/1995,190000,1995,2640
,04/10/1995,142000,1995,2640
787.7,21/05/1995,215000,1995,2640
834.7,31/07/1995,136000,1995,2640
8513.0,03/03/1995,232000,1995,2640
5.142,22/03/1995,628962,1995,2640
8957.0,11/09/1995,258000,1995,2640
594.4,08/08/1995,159000,1995,2640
3617.0,24/03/1995,130000,1995,2640
758.8,06/03/1995,150000,1995,2640
,13/11/1995,275000,1995,2640
1227.0,02/08/1995,165000,1995,2640
670.2,24/07/1995,115000,1995,2640
2199.0,07/07/1995,425000,1995,2640
5545.0,29/03/1995,280000,1995,2640
562.8,30/10/1995,190000,1995,2640
,21/07/1995,475000,1995,2640
682.9,01/08/1995,108000,1995,2640
,21/06/1995,120000,1995,2640
,05/12/1995,114600,1995,2640
,07/02/1995,115000,1995,2640
13.42,15/12/1995,1700000,1995,2640
758.8,10/11/1995,163750,1995,2640
2544.0,07/11/1995,185500,1995,2640
885.2,05/12/1995,152500,1995,2640
765.1,21/11/1995,117000,1995,2640
765.0,21/11/1995,134000,1995,2640
641.5,10/05/1995,147500,1995,2640
,22/06/1995,450000,1995,2640
